,distance,dt,T,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4
0,288.709342767,,,67,57,61,59,62
1,288.621403565,,,67,57,61,59,62
2,288.627592208,0.115,9.351,65,57,61,59,62
3,288.605447281,0.092,9.443,63,57,61,59,62
4,254.747397516,0.139,12.754,61,57,60,58,62
5,254.681053573,0.12,13.11,61,57,60,58,62
6,254.676597598,0.149,39.821,61,57,60,58,62
7,254.668318581,0.08,40.057,61,57,60,58,62
8,254.688250188,0.143,40.913,61,57,60,58,62
9,254.676597598,0.141,41.273,61,57,60,58,62
10,250.334280962,0.153,41.426,68,57,61,58,62
11,250.181094098,0.05,41.616,69,57,61,58,62
12,250.226161614,,,70,57,61,58,62
13,250.236007713,,,71,57,61,58,62
14,250.235720272,0.13,42.474,71,57,61,58,62
15,250.203916068,,,71,57,61,58,62
16,250.207850295,0.112,42.737,71,57,61,58,62
17,250.220539143,0.16,42.897,71,57,61,58,62
18,250.866525916,0.067,43.075,71,57,61,58,62
19,250.23009597,0.14,43.433,71,57,61,58,62
20,250.595449019,0.168,43.601,71,57,61,58,62
21,246.979734116,0.122,43.723,66,57,61,58,62
22,247.283041473,0.132,43.855,65,57,61,58,62
23,247.275471612,0.1,43.955,63,57,61,58,62
24,247.264292952,0.074,44.148,61,57,61,58,62
25,247.285086077,,,61,57,61,58,62
26,247.273427252,0.123,44.879,61,57,61,58,62
27,246.708394184,,,61,57,61,58,62
28,246.781697814,0.133,45.175,61,57,61,58,62
29,246.746850276,0.098,45.273,61,57,61,58,62
30,247.274630522,,,61,57,61,58,62
31,247.261769499,0.123,45.507,61,57,61,58,62
32,246.591231669,0.045,45.712,61,57,61,58,62
33,243.752328145,,,59,57,61,58,62
34,243.016290557,0.122,46.009,57,57,61,58,62
35,242.971102224,0.13,46.139,57,57,61,58,62
36,243.518607946,0.068,46.309,57,57,61,58,62
37,242.907776551,0.164,46.473,57,57,61,58,62
38,242.884723118,0.046,46.672,57,57,61,58,62
39,243.53914795,,,56,57,61,58,62
40,243.522393434,0.109,46.976,56,57,61,58,62
41,242.922856769,0.125,47.289,56,57,61,58,62
42,242.919101143,,,56,57,61,58,62
43,242.940479009,0.131,47.581,56,57,61,58,62
44,242.92118117,0.099,47.782,56,57,61,58,62
45,242.971477454,0.15,47.932,56,57,61,58,62
46,243.558850221,,,56,57,61,58,62
47,242.969426752,0.063,48.208,56,57,61,58,62
48,242.999990677,0.21,48.418,56,57,61,58,62
49,241.409893387,0.131,48.549,56,57,61,58,62
50,239.747745818,0.109,48.658,56,57,61,57,62
51,239.757935293,,,56,57,60,56,62
52,239.738567519,0.131,48.899,56,57,60,56,62
53,239.738062268,0.122,49.021,56,57,60,56,62
54,239.724383176,0.11,49.131,56,57,60,56,62
55,239.749414617,0.122,49.253,56,57,60,56,62
56,239.738567519,0.13,49.383,56,57,60,56,62
57,239.746406438,0.102,49.485,56,57,60,57,62
58,239.747745818,,,56,57,60,57,62
59,239.736898754,0.133,49.747,56,57,60,57,62
60,239.74741697,0.109,49.856,56,57,60,57,62
61,238.574257832,0.121,49.977,56,57,60,57,62
62,236.047400683,,,56,57,60,57,62
63,236.04055928,0.133,50.23,56,57,60,57,62
64,235.8962762,0.078,50.407,56,57,60,57,62
65,235.935783596,,,56,57,60,57,62
66,235.877478664,0.121,50.703,56,57,60,57,62
67,235.888026879,0.12,50.823,56,57,60,57,62
68,235.872813609,0.132,50.955,56,57,60,57,62
69,235.884702685,0.052,51.126,56,57,60,57,62
70,235.891672333,0.169,51.295,56,57,60,57,62
71,235.905223556,0.143,51.438,56,57,60,57,62
72,235.869168102,,,56,57,60,57,62
73,235.875561261,0.165,51.901,56,57,60,57,62
74,235.849990155,,,56,57,60,57,62
75,235.887451512,0.041,52.194,56,57,60,57,62
76,235.881633995,0.2,52.394,56,57,60,57,62
77,235.904137482,0.087,52.591,56,57,60,57,62
78,235.368602173,0.146,52.737,57,57,60,57,62
79,232.078890529,,,63,57,60,57,62
80,231.919469006,,,67,57,60,57,62
81,231.903739817,0.141,53.12,69,57,60,57,62
82,231.907236843,0.102,53.222,69,57,60,57,62
83,231.918455712,0.121,53.343,71,57,60,57,62
84,231.902911978,0.108,53.451,71,57,60,57,62
85,231.908892594,,,71,57,60,57,62
86,231.907236843,,,70,57,60,57,62
87,231.907236843,0.151,53.835,70,57,60,57,62
88,231.927376857,0.1,53.935,70,57,60,57,62
