x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
-110.1,-143.67,99.462,1,0.156,16.249,1,54,2,64,0,50,4,60,1,54
-76.417,-143.53,-126.87,2,0.14,16.854,1,54,2,64,0,50,4,60,1,54
-63.741,-144.14,-28.61,2,0.124,17.217,1,54,3,58,2,64,0,50,4,60
-88.396,-141.97,-135,1,0.119,17.925,2,63,4,60,1,54,3,59,2,63
-201.83,122.42,174.29,1,0.122,21.187,4,60,1,55,3,58,2,62,0,50
-201.8,122.17,180,1,0.04,21.398,2,62,0,50,4,60,1,55,3,57
-201.79,122.19,180,1,0.192,21.59,4,60,1,55,3,57,2,62,0,50
-201.79,122.15,180,1,0.136,21.895,4,60,1,55,3,57,2,62,0,50
-201.78,122.14,180,1,0.061,22.127,-38,-30,1,54,3,58,2,62,0,50
-201.81,122.19,180,1,0.044,22.363,2,62,0,50,4,60,1,54,3,58
-201.81,122.19,180,1,0.065,22.616,3,58,2,62,0,50,4,60,1,54
-201.81,122.16,180,1,0.175,22.791,0,50,4,60,1,54,3,58,2,62
-201.81,122.16,180,1,0.121,22.912,0,50,4,60,1,54,3,58,2,62
-201.73,117.67,180,2,0.105,24.42,3,58,2,62,0,50,4,60,1,54
-201.72,117.65,180,1,0.052,24.657,0,50,4,60,1,54,3,58,2,62
-201.75,114.89,174.29,2,0.132,26.464,1,54,3,57,2,61,0,50,4,60
-201.68,113.52,174.29,1,0.128,28.864,5,-388,4,60,1,54,3,57,2,61
-201.59,109.8,174.29,2,0.132,29.243,2,61,0,50,4,60,1,54,3,57
-201.56,109.24,174.81,2,0.078,29.476,1,54,3,57,2,61,0,50,4,60
-201.55,109.27,174.81,1,0.068,29.698,2,61,0,50,4,60,1,54,3,57
-201.55,109.29,174.81,1,0.121,30.084,3,57,2,61,0,50,4,60,1,54
-201.54,109.3,174.81,1,0.071,30.316,1,54,3,57,4,60,1,54,3,57
-201.53,109.29,174.81,1,0.19,30.506,3,57,2,61,0,50,4,60,1,54
-201.54,109.28,174.81,1,0.09,30.596,1,54,3,57,2,61,0,50,4,60
-201.53,109.28,174.81,1,0.063,30.802,0,50,4,60,1,54,3,57,2,61
-201.54,109.26,174.81,1,0.122,31.402,3,57,0,50,4,60,1,54,3,57
-201.53,109.27,174.81,1,0.161,31.563,3,57,2,61,0,50,4,60,1,54
-201.44,104.92,180,1,0.153,32.007,2,61,0,50,4,60,1,54,3,57
-201.56,102.92,180,2,0.125,34.533,4,60,1,54,3,58,2,61,0,51
-201.49,101.08,180,1,0.174,34.707,3,58,2,61,0,51,4,60,1,54
-201.46,100.72,180,1,0.121,34.828,1,54,3,58,2,61,0,51,4,60
-201.46,100.68,180,1,0.09,34.918,-7,6,3,58,0,51,4,60,1,54
-201.49,100.68,180,1,0.16,35.078,1,54,3,58,2,61,0,51,4,60
-201.46,100.69,180,1,0.092,35.17,0,51,4,60,1,54,3,58,2,61
-201.46,100.68,180,1,0.131,35.301,4,60,1,54,3,58,2,61,0,51
-201.49,100.69,180,1,0.112,35.413,-4,3,0,51,4,60,1,54,3,58
-201.47,100.7,180,1,0.132,35.545,0,51,4,60,1,54,3,57,2,61
-201.49,100.69,180,1,0.108,35.653,2,61,0,51,4,60,1,54,3,57
-201.47,100.69,180,1,0.142,35.795,2,61,0,51,4,60,1,54,3,57
-201.47,100.69,180,1,0.102,35.897,3,57,2,61,0,51,4,60,1,54
-201.47,100.7,180,1,0.14,36.037,0,51,4,60,1,54,3,57,2,61
-201.46,100.69,180,1,0.12,36.157,4,60,1,53,3,57,2,61,0,51
-201.48,100.7,180,1,0.109,36.266,-8,5,3,57,2,61,0,51,4,60
-201.5,100.68,180,1,0.113,36.379,2,61,0,51,1,53,3,57,2,61
-201.47,100.69,180,1,0.129,36.508,1,53,3,57,2,61,0,51,4,60
-201.47,100.7,180,1,0.121,36.629,1,53,3,57,2,61,0,51,4,60
-201.45,100.69,180,1,0.101,36.73,2,61,0,51,4,60,1,53,3,57
-201.44,100.71,180,1,0.123,36.853,3,57,2,61,0,51,4,60,1,53
-201.45,100.68,180,1,0.14,36.993,0,51,4,60,1,53,3,57,2,61
-201.47,100.69,180,1,0.12,37.113,0,51,4,60,1,53,3,57,2,61
-201.37,97.352,180,1,0.072,37.286,3,57,2,61,0,52,4,60,1,53
-201.29,96.567,180,1,0.159,37.445,4,60,1,53,3,57,2,61,0,52
-201.3,96.439,180,1,0.133,37.578,1,53,3,57,0,52,2,61,4,60
-201.32,96.424,180,1,0.109,37.687,2,61,0,52,4,60,1,53,3,58
-201.3,96.404,180,1,0.121,37.808,3,-77,2,61,0,52,4,60,1,53
-201.29,96.424,180,1,0.141,37.949,0,52,4,60,1,53,3,58,2,61
-201.32,96.406,180,1,0.122,38.071,1,53,3,58,2,61,0,52,4,60
-201.29,96.424,180,1,0.119,38.19,1,53,3,58,2,61,0,52,4,60
-201.29,96.432,180,1,0.102,38.292,4,60,1,53,3,58,2,61,0,52
-201.28,96.435,180,1,0.14,38.432,1,53,3,58,2,61,0,52,4,60
-201.3,96.427,180,1,0.114,38.546,4,60,1,53,3,58,2,61,0,52
-201.31,96.415,180,1,0.09,38.636,1,53,3,58,2,61,0,52,4,60
-201.3,96.425,180,1,0.162,38.798,0,52,4,60,1,53,3,58,2,61
