x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
182.61,-137.2,50.194,1,0.1,6.618,4,62,2,59,1,53,3,56,4,62
182.62,-137.6,-84.806,1,0.075,6.896,1,53,2,59,3,56,4,62,1,53
182.68,-137.6,97.125,1,0.206,7.102,-4,23,1,53,2,59,3,56,4,62
181.57,-139.01,-108.43,1,0.124,8.02,1,53,2,59,3,56,4,62,2,59
187.27,-133.87,95.711,1,0.123,8.648,4,67,1,53,4,67,2,59,-4,53
187.52,-132.59,95.194,1,0.077,9.012,2,59,1,53,4,68,1,53,4,68
187.24,-133.41,95.194,3,0.221,9.233,1,53,3,57,4,69,1,53,3,57
187.32,-133.38,95.711,2,0.049,9.436,3,57,4,69,1,53,4,69,2,59
187.57,-132.61,90,1,0.054,9.673,2,59,3,57,4,68,1,53,3,57
187.6,-132.58,95.194,1,0.165,9.838,2,59,-4,63,4,68,1,53,2,59
187.61,-132.6,95.194,1,0.128,9.966,3,57,4,68,1,53,-3,-105,1,53
187.44,-128.02,-101.31,1,0.13,10.644,3,57,1,53,4,66,1,53,2,59
187.48,-127.63,35.538,1,0.225,10.869,4,66,1,53,3,57,1,53,2,59
187.46,-127.82,-116.57,1,0.115,11.637,3,57,4,66,1,53,3,57,1,53
187.4,-127.92,-116.57,1,0.248,11.885,4,66,1,53,2,59,3,57,4,66
187.5,-127.84,-116.57,1,0.115,12,0,-388,3,57,1,53,-4,63,1,53
187.52,-127.4,99.462,1,0.058,12.244,3,57,4,66,1,53,4,66,2,59
187.45,-127.75,-116.57,1,0.137,12.381,3,57,2,59,4,66,1,53,2,59
187.39,-123.6,45,1,0.138,13.666,2,59,3,57,4,65,1,54,4,65
187.4,-123.6,39.806,1,0.116,14.509,2,59,3,58,4,65,1,54,2,59
187.22,-119.63,57.995,1,0.148,16.181,-7,26,1,54,3,58,1,54,-4,73
187.26,-119.84,40.601,1,0.06,16.492,1,55,2,59,3,58,4,64,2,59
187.24,-119.7,-120.96,1,0.135,16.905,4,63,-8,6,-35,-43,3,58,1,55
187.25,-119.61,71.565,1,0.241,17.146,1,55,2,60,3,58,4,63,1,55
187.25,-119.8,-120.96,1,0.104,17.407,1,54,2,60,4,63,1,54,4,63
-74.059,-142.24,161.57,2,0.232,17.639,1,54,2,60,3,58,4,63,1,54
187.25,-119.73,45,1,0.145,17.784,-4,-7,-4,73,4,63,1,54,5,-388
187.22,-119.76,-104.04,1,0.159,17.943,1,54,3,58,4,63,1,54,3,58
