x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
-70.269,-142.49,-158.2,2,0.11,9.015,-4,73,1,57,3,59,4,62,0,68
-69.767,-142.45,-160.02,1,0.221,9.236,-7,26,4,62,0,67,2,61,1,57
-69.899,-142.52,-161.57,1,0.115,9.351,1,57,3,59,4,62,0,67,2,61
-69.736,-142.47,-158.2,1,0.092,9.443,3,59,0,67,4,62,2,61,1,57
-69.922,-142.43,-156.04,2,0.139,12.754,2,61,1,57,3,59,4,62,0,65
-70.31,-142.31,-156.04,1,0.12,13.11,1,57,3,59,4,62,0,63,2,61
-135.09,-78.379,-11.31,2,0.149,39.821,0,61,4,62,2,60,1,57,3,58
-135.08,-78.307,-11.31,2,0.08,40.057,0,61,4,62,2,60,1,57,3,58
-135.07,-78.308,-11.31,3,0.143,40.913,4,62,0,61,2,60,1,57,3,58
-135.04,-78.317,-11.31,2,0.141,41.273,3,58,4,62,0,61,2,60,1,57
-135.06,-78.328,-11.31,2,0.153,41.426,3,58,0,61,1,57,4,62,2,60
-135.07,-78.308,-11.31,2,0.05,41.616,4,62,3,58,0,61,2,60,1,57
-135.07,-78.321,-11.31,2,0.162,41.778,0,61,2,60,1,57,4,62,0,61
-135.05,-78.333,-11.31,2,0.081,41.981,0,61,2,60,1,57,3,58,0,61
-134.04,-73.825,-11.31,1,0.13,42.474,1,57,3,58,4,62,0,68,2,61
-134.37,-74.259,-11.31,2,0.151,42.625,5,-388,0,69,4,62,2,61,1,57
-133.97,-73.688,-11.31,2,0.112,42.737,0,69,4,62,2,61,1,57,3,58
-134.01,-73.716,-11.31,2,0.16,42.897,4,62,2,61,1,57,3,58,0,70
-134,-73.734,-11.31,2,0.067,43.075,4,62,2,61,1,57,3,58,0,71
-133.99,-73.74,-11.31,2,0.14,43.433,0,71,4,62,2,61,1,57,3,58
-134,-73.696,-11.31,2,0.168,43.601,2,61,1,57,3,58,0,71,4,62
-133.99,-73.707,-11.31,2,0.122,43.723,0,71,4,62,2,61,1,57,3,58
-134.02,-73.703,-11.31,2,0.132,43.855,0,71,4,62,2,61,1,57,3,58
-134.34,-74.265,-11.31,2,0.1,43.955,2,61,1,57,3,58,0,71,4,62
-134,-73.727,-11.31,2,0.074,44.148,2,61,1,57,3,58,0,71,4,62
-133.99,-73.757,-11.31,2,0.137,44.523,0,71,2,61,1,57,3,58,0,71
-134.31,-73.963,-11.31,2,0.123,44.879,1,57,3,58,0,71,4,62,2,61
-134.06,-72.253,-12.529,2,0.163,45.042,4,62,2,61,1,57,3,58,4,62
-133.55,-70.158,-11.31,1,0.133,45.175,4,62,2,61,1,57,3,58,0,66
-133.75,-70.39,-11.31,2,0.098,45.273,2,61,1,57,3,58,4,62,0,65
-133.73,-70.378,-11.31,2,0.111,45.384,-4,73,0,64,4,62,2,61,1,57
-133.75,-70.381,-11.31,2,0.123,45.507,0,63,4,62,2,61,1,57,3,58
-133.72,-70.387,-11.31,2,0.045,45.712,2,61,1,57,3,58,0,61,4,62
-133.34,-69.886,-11.31,2,0.175,45.887,-4,73,0,61,4,62,2,61,1,57
-133.76,-70.386,-11.31,2,0.122,46.009,2,61,1,57,3,58,0,61,4,62
-133.74,-70.385,-11.31,2,0.13,46.139,2,61,1,57,3,58,0,61,4,62
-133.42,-69.919,-11.31,2,0.068,46.309,0,61,4,62,2,61,1,57,3,58
-133.47,-69.974,-11.31,2,0.164,46.473,0,61,4,62,2,61,1,57,3,58
-133.46,-69.939,-11.31,2,0.046,46.672,3,58,0,61,4,62,2,61,1,57
-133.77,-70.378,-11.31,2,0.195,46.867,-38,-30,4,62,2,61,1,57,3,58
-133.75,-70.38,-11.31,2,0.109,46.976,2,61,1,57,3,58,4,62,0,61
-133.72,-70.384,-11.31,2,0.125,47.289,2,61,1,57,3,58,4,62,0,61
-133.37,-69.896,-11.31,2,0.161,47.45,0,61,4,62,2,61,1,57,4,62
-133.32,-69.844,-11.31,2,0.131,47.581,0,61,4,62,2,61,1,57,3,58
-132.84,-66.774,-11.31,1,0.099,47.782,0,59,4,62,2,61,1,57,3,58
-132.64,-66.026,-11.31,2,0.15,47.932,2,61,1,57,3,58,0,57,4,62
-132.67,-65.949,-11.31,1,0.123,48.055,-4,13,2,61,1,57,3,58,0,57
-132.68,-65.946,-11.31,2,0.063,48.208,1,57,3,58,0,57,4,62,2,61
-132.98,-66.404,-11.31,2,0.21,48.418,0,57,2,61,1,57,3,58,4,62
-132.63,-65.903,-11.31,1,0.131,48.549,2,61,1,57,3,58,0,57,4,62
-132.62,-65.882,-11.31,2,0.109,48.658,1,57,3,58,4,62,0,57,2,61
-132.63,-65.901,-11.31,2,0.11,48.768,0,57,2,61,1,57,3,58,0,57
